,Boro,Vol,geometry,congestion,congestion_level,timestamp,Agency Name,Problem (formerly Complaint Type),Problem Detail (formerly Descriptor),Location Type,Street Name,tweets
66,Brooklyn,77,"POLYGON ((-73.99621598209588 40.67915511976305, -73.996215904223 40.680527506389666, -73.99801860369261 40.68052755155368, -73.99801864446775 40.67915516492614, -73.99621598209588 40.67915511976305))",-0.043516129,0,2024-05-21 10:45:00,Department of Sanitation,Litter Basket Request,Replacement Basket,Street,COURT STREET,"[""I've put in a request to replace the litter basket on Court Street, hoping for a cleaner look soon."", 'Court Street really needs a new litter basket, hoping the city listens to residents like me.', ""Court Street could use a new litter basket, it's been broken for too long now.""]"
67,Brooklyn,84,"POLYGON ((-73.99621598209588 40.67915511976305, -73.996215904223 40.680527506389666, -73.99801860369261 40.68052755155368, -73.99801864446775 40.67915516492614, -73.99621598209588 40.67915511976305))",0.108790323,0,2024-05-21 12:15:00,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,2 PLACE,"[""Just got a posted parking sign violation on our street, can't believe people still don't know not to block the sidewalk."", ""Saw another car parked on our street that had a posted parking sign violation, I'm starting to think nobody cares about the rules."", ""This is getting ridiculous, just got a notice for a posted parking sign violation and I'm still finding cars parked illegally on our street.""]"
68,Brooklyn,108,"POLYGON ((-73.99621598209588 40.67915511976305, -73.996215904223 40.680527506389666, -73.99801860369261 40.68052755155368, -73.99801864446775 40.67915516492614, -73.99621598209588 40.67915511976305))",0.630983871,0,2024-05-21 18:00:00,Department of Sanitation,Litter Basket Request,Replacement Basket,Street,COURT STREET,"['I just noticed the litter basket on Court Street is empty and superseded. Does anyone know how to request a replacement?', 'Could someone please let the city know the Court Street litter basket is in need of a new one?', 'The litter basket on Court Street is falling apart and would benefit from a replacement.', ""I tried to use the litter basket on Court Street but now it's gone. Can someone request a new one, please?""]"
69,Brooklyn,17,"POLYGON ((-73.94573789656936 40.72213682444823, -73.94573677916706 40.723509203221354, -73.94754064095187 40.72351003922843, -73.9475417212086 40.72213766043824, -73.94573789656936 40.72213682444823))",-1.430757576,0,2025-04-11 01:00:00,Department of Transportation,Traffic Signal Condition,Controller,,,"[""Just got stuck behind a traffic signal that's not working right, controller must be faulty."", ""Waited for 10 minutes at a traffic light and it didn't change, wondering when the controller is going to kick in."", ""Traffic signal controller isn't working on my street, driving is becoming such a nightmare.""]"
70,Manhattan,129,"POLYGON ((-73.97178007473232 40.794343669435854, -73.97177949297799 40.795716033913855, -73.97358531156605 40.795716461891985, -73.97358585609415 40.79434409740523, -73.97178007473232 40.794343669435854))",0.751585714,0,2025-03-06 08:15:00,New York City Police Department,Illegal Parking,Blocked Crosswalk,Street/Sidewalk,WEST   96 STREET,"['I just saw someone parking in a no-parking zone on WEST 96 STREET, blocking the crosswalk. Come on people, show some courtesy.', 'Seriously, need a DMV reminder for everyone parking illegally on WEST 96 STREET. Blocking access for everyone else is not cool.', 'Just had to walk around the block on WEST 96 STREET because some genius parked in the crosswalk. Impatience is not worth it.']"
71,Queens,43,"POLYGON ((-73.8592022660084 40.673795151622315, -73.85919936870798 40.67516753737008, -73.86100192102917 40.67516972917492, -73.86100478123802 40.6737973433824, -73.8592022660084 40.673795151622315))",-0.826806452,0,2025-02-09 08:45:00,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,NORTH CONDUIT AVENUE,"[""There's an abandoned car on North Conduit Avenue and it's been there for days, can someone please check the owner."", 'I just found out that the abandoned car on North Conduit Avenue has a visible license plate, hopefully it will be taken care of soon.', ""I've been noticing that the abandoned car on North Conduit Avenue has been leaving trash behind, this is getting ridiculous."", ""I'm still waiting for someone to take action on the abandoned car on North Conduit Avenue, it's still sitting there."", 'Someone just told me that the abandoned car on North Conduit Avenue has been there for months, is this some kind of joke?']"
72,Queens,43,"POLYGON ((-73.80788246338763 40.718339231280986, -73.80787850740045 40.719711607718466, -73.80968226246736 40.71971460354028, -73.80968618131354 40.71834222704166, -73.80788246338763 40.718339231280986))",-0.397782051,0,2024-06-12 21:15:00,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,PARSONS BOULEVARD,"[""I'm so done with people parking overnight on Parsons Boulevard - it's getting ridiculous"", ""Commercial parking shouldn't be allowed on residential streets at night"", 'Nowhere to park my car on Parsons Boulevard at night because of commercial trucks', ""Can anyone tell me why there's no enforcement on Parsons Boulevard at night?"", 'People are treating Parsons Boulevard like a free parking lot at night - frustrating', ""Who's in charge of parking enforcement on Parsons Boulevard - they need to step up!"", 'Fed up with seeing trucks parked on Parsons Boulevard overnight - where do they think they are?']"
73,Bronx,36,"POLYGON ((-73.90775266526711 40.81245929607161, -73.90775076306916 40.813831655883895, -73.9095570723184 40.81383308697624, -73.90955893726995 40.81246072713476, -73.90775266526711 40.81245929607161))",-0.281041667,0,2024-01-16 23:45:00,Department of Buildings,General Construction/Plumbing,Working Contrary To Stop Work Order,,JACKSON AVENUE,"[""I just got word that there's a construction site on Jackson Avenue and they're working despite a stop work order - seriously?"", ""I'm at my wit's end with the construction on Jackson Avenue - it's been months and they still can't follow the rules"", ""Just found out that the plumbing issue on Jackson Avenue is still unresolved and now they're working despite a stop work order"", ""Can't believe the construction crews on Jackson Avenue are just ignoring the stop work order - don't they care about residents' safety?"", ""Ringing the city's noise hotline is getting old - the construction on Jackson Avenue continues despite a stop work order"", ""It's frustrating seeing the construction on Jackson Avenue defy the stop work order - what's the city going to do?""]"
74,Brooklyn,99,"POLYGON ((-73.99621598209588 40.67915511976305, -73.996215904223 40.680527506389666, -73.99801860369261 40.68052755155368, -73.99801864446775 40.67915516492614, -73.99621598209588 40.67915511976305))",0.43516129,0,2024-05-20 12:15:00,Department of Sanitation,Litter Basket Request,New Basket,Sidewalk,2 PLACE,"[""I'd love to get a new litter basket on 2 PLACE."", ""Thinking it's time for a fresh start with a clean and new litter basket on our street."", 'Would be great to have a new litter basket on 2 PLACE to keep our area tidy.']"
75,Brooklyn,21,"POLYGON ((-73.91625604552222 40.70565771618904, -73.91625432143599 40.70703009759987, -73.91805773682383 40.7070313955125, -73.91805942378289 40.705659014075174, -73.91625604552222 40.70565771618904))",-0.4047,0,2024-06-19 10:15:00,Department of Parks and Recreation,Overgrown Tree/Branches,Blocking Street,Street,DEKALB AVENUE,"[""I'm getting tired of dodging branches on Dekalb Avenue."", ""Someone needs to prune that tree on Dekalb before it's too late.""]"
76,Brooklyn,2,"POLYGON ((-73.94120829313484 40.7219045876724, -73.94120708246008 40.723276966442825, -73.94301093790065 40.72327787341636, -73.9430121114301 40.721905494627435, -73.94120829313484 40.7219045876724))",-1.0792,0,2025-04-07 00:45:00,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,MONITOR STREET,"[""Someone's car is blocking the hydrant on Monitor Street, big deal, right?"", ""I'm getting frustrated with people parking where they shouldn't, especially on Monitor Street."", ""Monitor Street's hydrant is blocked again due to a car parked on it, it's just careless.""]"
77,Bronx,273,"POLYGON ((-73.86524403682557 40.85658616409697, -73.86524125622996 40.85795851278823, -73.86704876280693 40.85796060983907, -73.8670515061068 40.856588261105045, -73.86524403682557 40.85658616409697))",0.362888889,0,2024-03-13 11:30:00,Department of Buildings,General Construction/Plumbing,Sidewalk Shed/Pipe Scafford - Inadequate Defective/None,,PELHAM PARKWAY SOUTH,"[""I'm getting frustrated with the construction on Pelham Parkway South - the scaffolding is literally right on the sidewalk."", ""Walking down Pelham Parkway South is basically a minefield because of the construction - can't even have a safe sidewalk.""]"
78,Bronx,273,"POLYGON ((-73.86524403682557 40.85658616409697, -73.86524125622996 40.85795851278823, -73.86704876280693 40.85796060983907, -73.8670515061068 40.856588261105045, -73.86524403682557 40.85658616409697))",0.362888889,0,2024-03-13 11:30:00,Department of Buildings,General Construction/Plumbing,Sidewalk Shed/Pipe Scafford - Inadequate Defective/None,,PELHAM PARKWAY SOUTH,"[""People walking on Pelham Parkway South can't even take a stroll without dodging scaffolding everywhere, some of it looks super rickety too."", 'Just tried to cross Pelham Parkway South and almost tripped over some scaffolding pipes - definitely needs more attention from the city construction team.']"
79,Bronx,273,"POLYGON ((-73.86524403682557 40.85658616409697, -73.86524125622996 40.85795851278823, -73.86704876280693 40.85796060983907, -73.8670515061068 40.856588261105045, -73.86524403682557 40.85658616409697))",0.362888889,0,2024-03-13 11:30:00,Department of Buildings,General Construction/Plumbing,Sidewalk Shed/Pipe Scafford - Inadequate Defective/None,,PELHAM PARKWAY SOUTH,"[""I'm so frustrated with the street construction on Pelham Parkway South. Can't even walk to the subway without tripping over a pipe scaffold."", 'The sidewalk sheds on this street are literally falling apart. Someone please fix this before someone gets hurt.', ""Whole street on Pelham Parkway South is a mess. Construction looks like a DIY nightmare. Guess it's just another typical NYC experience...""]"
80,Bronx,273,"POLYGON ((-73.86524403682557 40.85658616409697, -73.86524125622996 40.85795851278823, -73.86704876280693 40.85796060983907, -73.8670515061068 40.856588261105045, -73.86524403682557 40.85658616409697))",0.362888889,0,2024-03-13 11:30:00,Department of Buildings,General Construction/Plumbing,Sidewalk Shed/Pipe Scafford - Inadequate Defective/None,,PELHAM PARKWAY SOUTH,"['Just saw the sad state of the sidewalk shed on Pelham Parkway South, completely inadequate to keep me dry in the rain.', ""The scaffolding on my street is a joke, pipes hanging everywhere, it's a safety hazard waiting to happen."", ""Can't believe the condition of the sidewalk shed on my street, it's literally falling apart and they're not bothered to fix it.""]"
81,Manhattan,103,"POLYGON ((-73.97178007473232 40.794343669435854, -73.97177949297799 40.795716033913855, -73.97358531156605 40.795716461891985, -73.97358585609415 40.79434409740523, -73.97178007473232 40.794343669435854))",0.250528571,0,2025-03-07 17:45:00,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,WEST   96 STREET,"['My car is still blocked in on West 96 Street, not sure how long this is going to take to get sorted out.', 'Currently still stuck with partial access to my driveway on West 96 Street.', 'Just another frustrating day trying to navigate the blocked driveway on West 96 Street.', ""I'm starting to get worried that my car will be stuck in West 96 Street for the whole day.""]"
82,Manhattan,71,"POLYGON ((-73.9513116249555 40.802798387854835, -73.95131062111622 40.804170750353514, -73.95311666890105 40.8041714990096, -73.95311763550467 40.80279913649568, -73.9513116249555 40.802798387854835))",0.274796296,0,2024-02-26 10:45:00,Department of Sanitation,Graffiti,Graffiti,Mixed Use,7 AVENUE,"['Just walked down 7 AVENUE and was disappointed by the graffiti covering the walls. Not exactly what I want to see when taking a stroll.', ""I'm getting tired of the vandalism on 7 AVENUE. Can't we find a better way to express ourselves?""]"
83,Manhattan,63,"POLYGON ((-73.9513116249555 40.802798387854835, -73.95131062111622 40.804170750353514, -73.95311666890105 40.8041714990096, -73.95311763550467 40.80279913649568, -73.9513116249555 40.802798387854835))",0.074944444,0,2024-02-26 19:30:00,New York City Police Department,Illegal Parking,Blocked Bike Lane,Street/Sidewalk,ST NICHOLAS AVENUE,"['Fed up with the constant abuse of the bike lane on St Nicholas Ave. Someone needs to enforce the no parking rules already.', ""St Nicholas Ave drivers can't seem to park within the lines. Frustrated cyclist here."", ""Bike lane blocked on St Nicholas Ave again. Who does this and thinks it's okay?"", ""Can't believe people refuse to park legally on St Nicholas Ave. Don't they know it's a bike lane?"", 'Another day, another block on the bike lane on St Nicholas Ave. When will it end?']"
84,Manhattan,63,"POLYGON ((-73.9513116249555 40.802798387854835, -73.95131062111622 40.804170750353514, -73.95311666890105 40.8041714990096, -73.95311763550467 40.80279913649568, -73.9513116249555 40.802798387854835))",0.074944444,0,2024-02-26 19:30:00,New York City Police Department,Illegal Parking,Blocked Bike Lane,Street/Sidewalk,ST NICHOLAS AVENUE,"[""People parking on St Nicholas Avenue are blocking the bike lane, it's a hazard waiting to happen."", ""Can't believe the state of parking on my street, St Nicholas Avenue is starting to feel like a one-way road."", 'Just witnessed a close call on St Nicholas Avenue,.”', ""Fed up with drivers taking up bike lanes on St Nicholas Avenue, can't they just park legally?""]"
85,Manhattan,63,"POLYGON ((-73.9513116249555 40.802798387854835, -73.95131062111622 40.804170750353514, -73.95311666890105 40.8041714990096, -73.95311763550467 40.80279913649568, -73.9513116249555 40.802798387854835))",0.074944444,0,2024-02-26 19:30:00,New York City Police Department,Illegal Parking,Blocked Bike Lane,Street/Sidewalk,7 AVENUE,"['Just witnessed someone parking on 7 AVENUE blocking the bike lane. Come on, guys, follow the rules.', 'Frustrating to see cars parked on 7 AVENUE when there are perfectly good parking spots nearby.', 'Just had to navigate around a car parked on 7 AVENUE, blocking the bike lane. Not cool.']"
86,Brooklyn,11,"POLYGON ((-73.85768198615781 40.66945745491956, -73.85767905776393 40.670829841342524, -73.8594814928049 40.67083205696812, -73.85948438411202 40.66945967049994, -73.85768198615781 40.66945745491956))",1.573833333,1,2025-01-14 13:45:00,Department of Transportation,Street Condition,Pothole,,,"['Just hit another pothole on nan street, my tire is ruined now.', ""This pothole on nan street has been there for ages, why can't they fix it?"", 'Just got a flat tire because of a huge pothole on nan street, so frustrating.', 'The pothole on nan street is deep and getting deeper, someone needs to fix it already.']"
87,Manhattan,96,"POLYGON ((-73.97178007473232 40.794343669435854, -73.97177949297799 40.795716033913855, -73.97358531156605 40.795716461891985, -73.97358585609415 40.79434409740523, -73.97178007473232 40.794343669435854))",0.115628571,0,2025-03-09 11:15:00,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,WEST END AVENUE,"['Just got a parking ticket for a spot where there\'s a clear sign saying ""Posted"". What\'s the point of signs if they\'re just going to ignore them?', 'Nice to see our city enforcing parking rules. Guess some people still need a reminder that signs are there for a reason.', 'Just got ticket for parking where the sign clearly says ""Posted"". Anyone else ever dealt with this nonsense on West End Avenue?']"
88,Manhattan,96,"POLYGON ((-73.97178007473232 40.794343669435854, -73.97177949297799 40.795716033913855, -73.97358531156605 40.795716461891985, -73.97358585609415 40.79434409740523, -73.97178007473232 40.794343669435854))",0.115628571,0,2025-03-09 12:00:00,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,WEST END AVENUE,"[""Just got a parking ticket on West End Avenue and I'm fuming because the signs were clearly posted."", 'Fuming at the city for not taking parking enforcement seriously on West End Avenue.', ""Got a parking ticket on West End Ave and I'm not backing down - I was following the rules."", ""Can't believe I got a ticket on West End Ave when the parking signs are obvious."", ""West End Avenue is turning into a free-for-all with parking - what's next?"", 'Just got fined for parking on West End Avenue despite following the signs.', ""West End Ave parking enforcers aren't doing their job if they're handing out tickets unfairly.""]"
89,Queens,82,"POLYGON ((-73.81480848540612 40.74683208435987, -73.8148046704049 40.74820445561926, -73.81660919723713 40.74820734291219, -73.81661297506554 40.74683497159388, -73.81480848540612 40.74683208435987))",0.1065,0,2024-06-08 22:30:00,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,OAK AVENUE,"[""Just witnessed a car blocking the sidewalk on Oak Avenue, completely impeding people's access to businesses."", 'Getting fed up with the lack of parking enforcement on Oak Avenue - no one seems to care about the sidewalk being blocked.', 'Just had to walk around a parked car on Oak Avenue to get to my appointment. Who parks on a street like this?', ""Can someone finally do something about the car parked on Oak Avenue that's blocking the entire sidewalk?""]"
90,Queens,49,"POLYGON ((-73.8766476725735 40.73623544375824, -73.87664513188132 40.73760781877612, -73.87844937394281 40.73760973722932, -73.87845187747382 40.73623736217228, -73.8766476725735 40.73623544375824))",-0.481785714,0,2024-01-06 21:45:00,New York City Police Department,Encampment,,Subway,,"[""Just saw a bunch of homeless encampments in my neighborhood and I'm really concerned about the state of our city right now."", ""Realistically, what's the solution here? More shelters, more services? I don't know but it's clear we need to do something."", ""Walked by the encampment again today and I just feel so helpless. There are people living in the streets, it's just heartbreaking."", ""Just talked to my city council member about the homeless issue and I'm trying to stay hopeful that real change is coming.""]"
91,Manhattan,68,"POLYGON ((-73.9513116249555 40.802798387854835, -73.95131062111622 40.804170750353514, -73.95311666890105 40.8041714990096, -73.95311763550467 40.80279913649568, -73.9513116249555 40.802798387854835))",0.199851852,0,2024-02-29 10:45:00,New York City Police Department,Illegal Parking,Blocked Bike Lane,Street/Sidewalk,7 AVENUE,"[""I'm getting fed up with people parking on 7 AVENUE and blocking the bike lane. When will they finally move?"", 'Just had to walk my bike around a car on 7 AVENUE. Come on, people, move your vehicles out of the bike lane.', ""Why can't people park properly on 7 AVENUE? The bike lane is there for a reason...""]"
92,Manhattan,68,"POLYGON ((-73.9513116249555 40.802798387854835, -73.95131062111622 40.804170750353514, -73.95311666890105 40.8041714990096, -73.95311763550467 40.80279913649568, -73.9513116249555 40.802798387854835))",0.199851852,0,2024-02-29 10:45:00,New York City Police Department,Illegal Parking,Blocked Bike Lane,Street/Sidewalk,7 AVENUE,"['Just saw someone parking in the bike lane on 7th Avenue - not cool.', 'Traffic chaos in the bike lane - who does that on 7th Avenue?', 'Just witnessed someone blocking the bike lane on 7th Avenue - should be fined.', 'Rude driver just parked in the bike lane on 7th Avenue, blocking everything.']"
93,Queens,77,"POLYGON ((-73.87654158461574 40.73640908537829, -73.87653904173183 40.73778146036058, -73.87834328849227 40.7377833804758, -73.87834579421481 40.73641100545433, -73.87654158461574 40.73640908537829))",1.2141,1,2024-01-09 07:30:00,New York City Police Department,Encampment,,Subway,,"[""I'm still fuming about the new encampment on our street, it's a health and safety nightmare.\n\n| I'm so fed up with the encampment, it's taking over our community and no one seems to care.\n\n| Went for a walk this morning to see if the encampment has been cleaned up, still hasn't happened.""]"
94,Queens,77,"POLYGON ((-73.87654158461574 40.73640908537829, -73.87653904173183 40.73778146036058, -73.87834328849227 40.7377833804758, -73.87834579421481 40.73641100545433, -73.87654158461574 40.73640908537829))",1.2141,1,2024-01-09 07:30:00,Department of Homeless Services,Encampment,,Subway,,"[""Just had to drive around the street near my house because of the encampment I don't know what's going to happen now."", ""Running late for work and this huge encampment is blocking my way it's causing so much traffic."", ""Just had to call the authorities to report the encampment on my street it's getting out of control."", ""Can't believe it's been a week and the encampment is still here what's the city going to do about it.""]"
95,Queens,57,"POLYGON ((-73.86030453146239 40.75827795394664, -73.86030165319804 40.75965032425858, -73.86210649183987 40.759652498751464, -73.8621093329185 40.75828012839516, -73.86030453146239 40.75827795394664))",0.629533333,0,2024-03-13 17:00:00,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,107 STREET,"[""My street is a nightmare, can't even squeeze a car in."", 'Just tried to leave the house and my driveway is totally blocked. So annoyed.', ""107 Street residents are going crazy, can't get in or out."", ""Tried to park my car and found out someone's blocking my driveway. Yet again.""]"
96,Brooklyn,159,"POLYGON ((-73.95034808317482 40.68809045867435, -73.9503470612307 40.689462843567, -73.95215000200524 40.68946360735577, -73.95215098684172 40.68809122244751, -73.95034808317482 40.68809045867435))",0.652741935,0,2024-12-03 18:15:00,Department of Transportation,Street Light Condition,Street Light Out,,NOSTRAND AVENUE,"['My street light on Nostrand Avenue is out, freezing me in the dark every night.', 'Just walked home from store on Nostrand and noticed the street light is out, feels pretty spooky.', ""Street light on Nostrand Avenue is out, can't believe DEP hasn't fixed it yet.""]"
97,Brooklyn,195,"POLYGON ((-73.95034808317482 40.68809045867435, -73.9503470612307 40.689462843567, -73.95215000200524 40.68946360735577, -73.95215098684172 40.68809122244751, -73.95034808317482 40.68809045867435))",1.436032258,1,2024-12-09 17:15:00,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,NOSTRAND AVENUE,"['Just got another notice for a car parked illegally on Nostrand Ave, posted parking sign clearly visible.', 'Fed up with people not respecting parking signs on Nostrand Ave, when are they going to learn?', ""Just another day, another empty space on Nostrand Ave taken by someone who thinks parking signs don't apply to them.""]"
98,Brooklyn,19,"POLYGON ((-73.89363418705398 40.663988527634274, -73.89363199860638 40.66536091574541, -73.89543428690111 40.66536256809811, -73.89543643826796 40.66399017995325, -73.89363418705398 40.663988527634274))",0.0,0,2024-10-26 20:30:00,New York City Police Department,Illegal Parking,Blocked Crosswalk,Street/Sidewalk,SHEFFIELD AVENUE,"[""Just witnessed a car parked on Sheffield Avenue that's blocking the crosswalk - how selfish can people be?"", ""I'm getting fed up with people parking illegally on Sheffield Avenue - it's a safety hazard"", 'Those who park on Sheffield Avenue, blocking the crosswalk, really have no regard for pedestrians', 'Driving down Sheffield Avenue is a nightmare due to all the cars parked in no parking zones, blocking crosswalks']"
99,Queens,18,"POLYGON ((-73.80240146876282 40.68797242598935, -73.80239740176701 40.689344807630945, -73.80420033511498 40.68934788934322, -73.80420436500361 40.6879755076387, -73.80240146876282 40.68797242598935))",0.168625,0,2024-01-19 12:15:00,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,PINEGROVE STREET,"['People parking on Pinegrove Street are blocking the sidewalk again.', 'Can someone please tell the folks parking on Pinegrove Street to move their cars?']"
100,Manhattan,157,"POLYGON ((-73.98885407294881 40.771882248225054, -73.9888538432528 40.773254617502765, -73.99065905282708 40.77325477798656, -73.99065924532198 40.77188240870558, -73.98885407294881 40.771882248225054))",1.10122449,1,2024-10-16 15:30:00,Department of Transportation,Street Condition,Pothole,,WEST END AVENUE,"['Just hit a massive pothole on West End Avenue and almost blew out my tire. How do these need to get so bad?', 'I swear this street is going to swallow my car whole. West End needs some serious repairs ASAP.', ""Every time I drive down West End Avenue I feel like I'm in a war zone dodging these massive potholes.""]"
101,Brooklyn,17,"POLYGON ((-73.89262352326264 40.664143575527156, -73.89262131401577 40.66551596359393, -73.89442360647493 40.665517631781015, -73.89442577864087 40.66414524368016, -73.89262352326264 40.664143575527156))",-0.039676471,0,2024-10-31 10:30:00,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,LIVONIA AVENUE,"[""There's an abandoned car on Livonia Avenue and it's been there for weeks, I need the city to do something about it."", 'Has anyone tried to report the abandoned car on Livonia Avenue I need help getting in touch with the city.', ""Someone needs to do something about the car on Livonia Avenue it's not going to disappear on its own.""]"
102,Brooklyn,188,"POLYGON ((-73.97623660930242 40.682929495218104, -73.97623612023814 40.68430188115971, -73.97803892168663 40.68430223934618, -73.978039373649 40.682929853397276, -73.97623660930242 40.682929495218104))",-0.327614286,0,2024-06-06 20:45:00,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,PACIFIC STREET,"[""I'm getting frustrated with all the cars parked on Pacific Street. It's blocking the sidewalk and making it hard for pedestrians to pass by."", ""Just had to navigate around another car parked on the sidewalk on Pacific Street. Can't we just get some enforcement around here?"", ""I'm tired of seeing cars parked on Pacific Street that are blocking the sidewalk. Someone needs to do something about it.""]"
103,Manhattan,186,"POLYGON ((-73.93291959036472 40.827414501543075, -73.93291820681355 40.82878685832842, -73.9347249225151 40.82878789512412, -73.93472626880308 40.82741553831763, -73.93291959036472 40.827414501543075))",-0.331533898,0,2024-11-05 11:30:00,Department of Transportation,Street Light Condition,Street Light Out,,MACOMBS DAM BRIDGE,"['Just noticed the street light is out on Macombs Dam Bridge, super annoying at night.', ""Just went out of my way to tell someone about the street light that's out on Macombs Dam."", ""Macombs Dam's street light is still out and no one seems to care about fixing it."", 'Finally reported the street light being out on Macombs Dam Bridge, hope someone finally fixes it soon.']"
104,Queens,86,"POLYGON ((-73.83265224094487 40.755274391863516, -73.832648793093 40.75664676201696, -73.83445354936536 40.75664936974395, -73.83445696003493 40.75527699953729, -73.83265224094487 40.755274391863516))",-0.6745,0,2024-11-15 23:15:00,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,HAIGHT STREET,"[""Just got out of my car to find my driveway on Haight St blocked off.\nFrustrated with lack of access to my home, need a way to get through.\nCan't believe this is happening, hope it gets resolved ASAP.\nAnother day, another issue on Haight St, blocked driveway to add to my list.\nTrying to get in touch with the responsible party to get my driveway cleared.\nReally disappointed with the way things are being handled on my street.\nJust talked to the person responsible, they're supposed to clean up the mess today.\nStill waiting for the driveway to get cleared, getting impatient.\nWorking on getting a bigger picture of why my driveway is blocked off.\nWish I could get some help to clear out my driveway on Haight St.\nTrying to find a solution to the blocked driveway without any success.""]"
105,Bronx,315,"POLYGON ((-73.86524403682557 40.85658616409697, -73.86524125622996 40.85795851278823, -73.86704876280693 40.85796060983907, -73.8670515061068 40.856588261105045, -73.86524403682557 40.85658616409697))",0.694222222,0,2025-03-11 15:30:00,Department of Transportation,Street Light Condition,Street Light Lamp Dim,,,"['My streetlight is barely glowing - hoping they fix it soon.', ""I'm calling the council about the dim streetlight outside my home."", ""The streetlight outside my house isn't working properly - really need it lit up at night."", ""There's a dim streetlight on my street and I'm worried it's going to cause an accident.""]"
106,Bronx,316,"POLYGON ((-73.86524403682557 40.85658616409697, -73.86524125622996 40.85795851278823, -73.86704876280693 40.85796060983907, -73.8670515061068 40.856588261105045, -73.86524403682557 40.85658616409697))",0.702111111,0,2025-03-11 15:45:00,Department of Transportation,Street Light Condition,Street Light Lamp Dim,,,"['Just noticed the street light outside my house is super dim. Anyone know who to contact about this?', 'Hoping the council sends someone to fix the street light tonight. Getting a bit frustrating now.', ""The street light at the end of my road isn't working properly. Will have to try and find someone to report it to."", 'Stumbled upon the street light lamp again this morning... still dim. Really need this sorted.']"
107,Queens,13,"POLYGON ((-73.91790322557078 40.741947962363774, -73.91790153447535 40.74332033703913, -73.91970593221637 40.74332160913098, -73.91970758614417 40.74194923442967, -73.91790322557078 40.741947962363774))",0.1349,0,2025-03-20 13:15:00,Department of Transportation,Street Sign - Missing,"No Parking, Standing, Stopping",Street,GREENPOINT AVENUE,"['Just saw that the ""No Parking"" sign is gone on Greenpoint Avenue, anyone know why?', 'Tried to park on Greenpoint Avenue but no luck, guess the ""No Parking"" sign really isn\'t a sign anymore.']"
108,Queens,185,"POLYGON ((-73.89614589404492 40.753643811402526, -73.89614375439905 40.75501618342046, -73.89794846849146 40.75501779638342, -73.8979505709567 40.75364542433258, -73.89614589404492 40.753643811402526))",1.031588235,1,2024-06-10 08:00:00,Department of Transportation,Street Condition,Pothole,,,"['I hit another pothole on my way home, lost a tire and my patience.', ""Need to report the state of this street ASAP, can't take the constant damage to my car."", 'Riding through that street was like driving on a war zone, potholes everywhere.', 'Frustrated with the condition of the road, how can it be this bad?']"
109,Bronx,16,"POLYGON ((-73.8400522681409 40.85462383716716, -73.84004896782857 40.85599618566797, -73.84185642021284 40.85599867739687, -73.84185968323169 40.85462632884524, -73.8400522681409 40.85462383716716))",0.20235,0,2024-03-06 09:00:00,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,RHINELANDER AVENUE,"[""My driveway on Rhinelander Avenue is partially blocked and I'm having a hard time getting in and out."", 'Fed up with the partial access to my driveway on Rhinelander Avenue, needs to be fixed ASAP.', 'Still trying to get my driveway issue on Rhinelander Avenue sorted out, anyone know who I can contact?']"
110,Manhattan,142,"POLYGON ((-74.00199665383592 40.707824160860795, -74.00199669494354 40.70919654251031, -74.003800169731 40.70919649710072, -74.0038000914937 40.70782411545215, -74.00199665383592 40.707824160860795))",0.580383721,0,2024-03-12 14:00:00,New York City Police Department,Illegal Parking,Parking Permit Improper Use,Street/Sidewalk,PEARL STREET,"[""People are abusing parking permits on Pearl Street, it's getting out of hand."", ""I saw a permit on a car that clearly didn't belong to the owner, need to crack down on this."", 'Frustrating to see people using Pearl Street parking permits for their own benefit, not following the rules.', ""Someone needs to look into the misuse of parking permits on Pearl Street, it's rampant.""]"
111,Bronx,120,"POLYGON ((-73.84152954456823 40.86780053391224, -73.84152627408959 40.86917287924508, -73.84333408468446 40.86917534782106, -73.84333731785483 40.86780300243788, -73.84152954456823 40.86780053391224))",0.312573171,0,2024-09-12 13:30:00,Department of Parks and Recreation,Overgrown Tree/Branches,Blocking Street,Street,ONEIL PLACE,"[""O'Neil Place is looking rough due to that huge overgrown tree."", ""Tree branches are blocking the street on O'Neil Place, getting harder to navigate."", ""Need someone to take a look at the overgrown tree on O'Neil Place, really clogs the street.""]"
