Time,Temperature,Condition,Wind,Humidity,Pressure,Visibility,day,month
,1 °C,Clear.,9 km/h,36%,1029 mbar,16 km,10,2
,0 °C,Clear.,9 km/h,38%,1029 mbar,16 km,10,2
,-1 °C,Clear.,6 km/h,41%,1030 mbar,16 km,10,2
,-1 °C,Clear.,No wind,41%,1030 mbar,16 km,10,2
,-1 °C,Clear.,No wind,41%,1030 mbar,16 km,10,2
,-2 °C,Clear.,No wind,43%,1030 mbar,16 km,11,2
,-2 °C,Clear.,No wind,43%,1030 mbar,16 km,11,2
,-2 °C,Clear.,6 km/h,41%,1030 mbar,16 km,11,2
,-2 °C,Clear.,6 km/h,45%,1030 mbar,16 km,11,2
,-2 °C,Clear.,6 km/h,45%,1030 mbar,16 km,11,2
,-2 °C,Clear.,6 km/h,43%,1031 mbar,16 km,11,2
,-2 °C,Clear.,7 km/h,43%,1030 mbar,16 km,11,2
,-1 °C,Sunny.,6 km/h,41%,1031 mbar,16 km,11,2
,-1 °C,Sunny.,No wind,43%,1031 mbar,16 km,11,2
,-1 °C,Sunny.,9 km/h,43%,1030 mbar,16 km,11,2
,0 °C,Partly sunny.,7 km/h,41%,1030 mbar,16 km,11,2
,1 °C,Sunny.,6 km/h,40%,1029 mbar,16 km,11,2
,1 °C,Sunny.,No wind,37%,1028 mbar,16 km,11,2
,2 °C,Sunny.,N/A,40%,1026 mbar,16 km,11,2
,1 °C,Scattered clouds.,9 km/h,42%,1026 mbar,16 km,11,2
,1 °C,Overcast.,7 km/h,44%,1026 mbar,16 km,11,2
,2 °C,Overcast.,No wind,48%,1026 mbar,16 km,11,2
,2 °C,Mostly cloudy.,7 km/h,50%,1026 mbar,16 km,11,2
,2 °C,Mostly cloudy.,9 km/h,44%,1026 mbar,16 km,11,2
,1 °C,Light snow. Overcast.,7 km/h,63%,1025 mbar,5 km,11,2
,1 °C,Light snow. Overcast.,6 km/h,66%,1026 mbar,4 km,11,2
,-1 °C,Light snow. Ice fog.,No wind,85%,1025 mbar,2 km,11,2
,-1 °C,Light snow. Ice fog.,No wind,85%,1025 mbar,2 km,11,2
,-1 °C,Light snow. Ice fog.,6 km/h,85%,1026 mbar,1 km,11,2
,-1 °C,Light snow. Ice fog.,6 km/h,85%,1026 mbar,2 km,11,2
,-1 °C,Light snow. Ice fog.,6 km/h,85%,1025 mbar,2 km,11,2
,-1 °C,Light snow. Ice fog.,6 km/h,85%,1024 mbar,2 km,12,2
,-1 °C,Light snow. Ice fog.,6 km/h,85%,1024 mbar,2 km,12,2
,-1 °C,Light snow. Ice fog.,7 km/h,85%,1024 mbar,2 km,12,2
,-1 °C,Light snow. Ice fog.,13 km/h,89%,1023 mbar,2 km,12,2
,-1 °C,Light snow. Ice fog.,9 km/h,89%,1024 mbar,5 km,12,2
,-1 °C,Light snow. Ice fog.,11 km/h,89%,1023 mbar,4 km,12,2
,-1 °C,Light snow. Ice fog.,13 km/h,89%,1023 mbar,3 km,12,2
,-1 °C,Ice fog.,11 km/h,89%,1023 mbar,6 km,12,2
,-1 °C,Ice fog.,11 km/h,89%,1023 mbar,10 km,12,2
,0 °C,Ice fog.,9 km/h,85%,1023 mbar,10 km,12,2
,0 °C,Ice fog.,9 km/h,85%,1024 mbar,8 km,12,2
,0 °C,Ice fog.,17 km/h,85%,1024 mbar,8 km,12,2
,0 °C,Ice fog.,19 km/h,85%,1025 mbar,10 km,12,2
,1 °C,Overcast.,19 km/h,82%,1025 mbar,10 km,12,2
,1 °C,Overcast.,19 km/h,82%,1026 mbar,11 km,12,2
,1 °C,Overcast.,15 km/h,78%,1026 mbar,11 km,12,2
,1 °C,Mostly cloudy.,19 km/h,73%,1025 mbar,14 km,12,2
,1 °C,More clouds than sun.,15 km/h,72%,1025 mbar,14 km,12,2
,1 °C,Overcast.,17 km/h,72%,1024 mbar,14 km,12,2
,1 °C,Overcast.,19 km/h,64%,1024 mbar,14 km,12,2
,1 °C,Overcast.,17 km/h,61%,1024 mbar,16 km,12,2
,1 °C,Overcast.,17 km/h,59%,1025 mbar,16 km,12,2
,1 °C,Overcast.,20 km/h,61%,1024 mbar,16 km,12,2
,1 °C,Overcast.,13 km/h,64%,1025 mbar,16 km,12,2
,2 °C,Mostly cloudy.,11 km/h,64%,1025 mbar,16 km,12,2
,2 °C,Overcast.,9 km/h,64%,1024 mbar,16 km,12,2
,2 °C,Overcast.,15 km/h,75%,1024 mbar,14 km,12,2
,1 °C,Light snow. Fog.,11 km/h,85%,1023 mbar,5 km,12,2
,1 °C,Light rain. Fog.,9 km/h,88%,1022 mbar,10 km,12,2
,1 °C,Light rain. Fog.,7 km/h,92%,1021 mbar,6 km,12,2
,2 °C,Light rain. Fog.,6 km/h,88%,1020 mbar,6 km,13,2
,2 °C,Light rain. Fog.,13 km/h,88%,1021 mbar,4 km,13,2
,2 °C,Light rain. Fog.,9 km/h,92%,1020 mbar,3 km,13,2
,2 °C,Light rain. Fog.,13 km/h,89%,1018 mbar,5 km,13,2
,2 °C,Light rain. Fog.,9 km/h,92%,1018 mbar,4 km,13,2
,2 °C,Light rain. Fog.,11 km/h,92%,1017 mbar,2 km,13,2
,2 °C,Light rain. Fog.,7 km/h,92%,1016 mbar,4 km,13,2
,2 °C,Fog.,17 km/h,92%,1014 mbar,4 km,13,2
,2 °C,Fog.,17 km/h,92%,1014 mbar,5 km,13,2
,2 °C,Fog.,17 km/h,89%,1013 mbar,6 km,13,2
,3 °C,Light rain. Fog.,15 km/h,89%,1011 mbar,3 km,13,2
,3 °C,Fog.,7 km/h,93%,1010 mbar,3 km,13,2
,3 °C,Fog.,9 km/h,93%,1009 mbar,3 km,13,2
,3 °C,Fog.,11 km/h,93%,1009 mbar,2 km,13,2
,3 °C,Fog.,No wind,93%,1008 mbar,1 km,13,2
,3 °C,Fog.,No wind,93%,1009 mbar,2 km,13,2
,4 °C,Fog.,No wind,75%,1007 mbar,1 km,13,2
,4 °C,Fog.,No wind,93%,1008 mbar,2 km,13,2
,4 °C,Fog.,7 km/h,93%,1006 mbar,2 km,13,2
,4 °C,Fog.,No wind,93%,1007 mbar,3 km,13,2
,5 °C,Fog.,7 km/h,93%,1006 mbar,6 km,13,2
,6 °C,Overcast.,13 km/h,82%,1007 mbar,16 km,13,2
,7 °C,Overcast.,17 km/h,79%,1009 mbar,16 km,13,2
,7 °C,Mostly cloudy.,13 km/h,79%,1009 mbar,16 km,13,2
,7 °C,Broken clouds.,7 km/h,76%,1009 mbar,16 km,13,2
,8 °C,Partly sunny.,N/A,68%,1010 mbar,16 km,13,2
,7 °C,Passing clouds.,22 km/h,60%,1011 mbar,16 km,13,2
,7 °C,Passing clouds.,17 km/h,53%,1013 mbar,16 km,13,2
,6 °C,Passing clouds.,17 km/h,51%,1015 mbar,16 km,13,2
,5 °C,Passing clouds.,22 km/h,47%,1017 mbar,16 km,13,2
,3 °C,Clear.,19 km/h,43%,1018 mbar,16 km,13,2
,3 °C,Clear.,17 km/h,42%,1020 mbar,16 km,13,2
,2 °C,Clear.,13 km/h,42%,1021 mbar,16 km,13,2
,1 °C,Clear.,13 km/h,46%,1022 mbar,16 km,14,2
,1 °C,Clear.,19 km/h,44%,1024 mbar,16 km,14,2
,1 °C,Clear.,15 km/h,45%,1025 mbar,16 km,14,2
,0 °C,Passing clouds.,N/A,45%,1026 mbar,16 km,14,2
,-1 °C,Clear.,15 km/h,41%,1027 mbar,16 km,14,2
,-1 °C,Clear.,13 km/h,41%,1029 mbar,16 km,14,2
,-1 °C,Sunny.,11 km/h,47%,1030 mbar,16 km,14,2
,-1 °C,Sunny.,15 km/h,47%,1031 mbar,16 km,14,2
,-1 °C,Sunny.,N/A,45%,1032 mbar,16 km,14,2
,-1 °C,Sunny.,11 km/h,38%,1033 mbar,16 km,14,2
,1 °C,Sunny.,N/A,33%,1034 mbar,16 km,14,2
,1 °C,Sunny.,20 km/h,29%,1033 mbar,16 km,14,2
,2 °C,Sunny.,20 km/h,28%,1033 mbar,16 km,14,2
,2 °C,Sunny.,11 km/h,27%,1033 mbar,16 km,14,2
,2 °C,Sunny.,11 km/h,25%,1033 mbar,16 km,14,2
,1 °C,Sunny.,19 km/h,28%,1034 mbar,16 km,14,2
,1 °C,Clear.,11 km/h,29%,1034 mbar,16 km,14,2
,0 °C,Clear.,N/A,32%,1035 mbar,16 km,14,2
,-1 °C,Clear.,N/A,33%,1034 mbar,16 km,14,2
,-1 °C,Clear.,9 km/h,31%,1035 mbar,16 km,14,2
,-1 °C,Clear.,N/A,31%,1036 mbar,16 km,14,2
,-1 °C,Clear.,No wind,33%,1035 mbar,16 km,14,2
,-1 °C,Clear.,7 km/h,33%,1036 mbar,16 km,14,2
,-2 °C,Clear.,No wind,36%,1036 mbar,16 km,15,2
,-2 °C,Clear.,6 km/h,36%,1035 mbar,16 km,15,2
,-2 °C,Clear.,7 km/h,36%,1034 mbar,16 km,15,2
,-2 °C,Clear.,7 km/h,34%,1034 mbar,16 km,15,2
,-2 °C,Clear.,7 km/h,38%,1034 mbar,16 km,15,2
,-2 °C,Clear.,7 km/h,36%,1033 mbar,16 km,15,2
,-2 °C,Partly sunny.,No wind,45%,1032 mbar,16 km,15,2
,-2 °C,Scattered clouds.,11 km/h,43%,1032 mbar,16 km,15,2
,-1 °C,Partly sunny.,11 km/h,41%,1032 mbar,16 km,15,2
,0 °C,Overcast.,13 km/h,41%,1032 mbar,16 km,15,2
,1 °C,Mostly cloudy.,6 km/h,49%,1031 mbar,16 km,15,2
,1 °C,Overcast.,N/A,52%,1030 mbar,16 km,15,2
,2 °C,Overcast.,N/A,50%,1028 mbar,16 km,15,2
,2 °C,Mostly cloudy.,N/A,56%,1026 mbar,14 km,15,2
,1 °C,Light snow. Overcast.,11 km/h,66%,1026 mbar,2 km,15,2
,0 °C,Light snow. Fog.,7 km/h,85%,1024 mbar,1 km,15,2
,0 °C,Light snow. Fog.,13 km/h,88%,1023 mbar,0 km,15,2
,0 °C,Light snow. Fog.,9 km/h,88%,1023 mbar,1 km,15,2
,1 °C,Light snow. Fog.,13 km/h,85%,1022 mbar,3 km,15,2
,1 °C,Light rain. Fog.,9 km/h,88%,1021 mbar,8 km,15,2
,1 °C,Light freezing rain. Fog.,15 km/h,88%,1021 mbar,5 km,15,2
,1 °C,Light rain. Fog.,11 km/h,88%,1020 mbar,5 km,15,2
,1 °C,Light rain. Fog.,11 km/h,88%,1020 mbar,5 km,15,2
,1 °C,Light rain. Fog.,9 km/h,88%,1019 mbar,4 km,15,2
,1 °C,Light rain. Fog.,9 km/h,88%,1019 mbar,4 km,15,2
,1 °C,Light rain. Fog.,11 km/h,92%,1019 mbar,4 km,15,2
,1 °C,Light rain. Fog.,9 km/h,88%,1017 mbar,4 km,15,2
,1 °C,Light rain. Fog.,9 km/h,92%,1016 mbar,3 km,15,2
,1 °C,Light rain. Fog.,13 km/h,88%,1014 mbar,3 km,15,2
,1 °C,Light rain. Fog.,7 km/h,92%,1012 mbar,5 km,16,2
,2 °C,Light rain. Fog.,15 km/h,88%,1011 mbar,6 km,16,2
,2 °C,Light rain. Fog.,17 km/h,92%,1010 mbar,6 km,16,2
,2 °C,Light rain. Fog.,19 km/h,89%,1008 mbar,5 km,16,2
,2 °C,Light rain. Fog.,28 km/h,89%,1007 mbar,8 km,16,2
,2 °C,Light rain. Fog.,15 km/h,92%,1005 mbar,5 km,16,2
,2 °C,Light rain. Fog.,19 km/h,88%,1006 mbar,8 km,16,2
,1 °C,Light rain. Fog.,22 km/h,92%,1004 mbar,6 km,16,2
,1 °C,Light rain. Fog.,24 km/h,92%,1004 mbar,4 km,16,2
,1 °C,Light rain. Fog.,19 km/h,92%,1003 mbar,6 km,16,2
,1 °C,Fog.,13 km/h,92%,1001 mbar,10 km,16,2
,1 °C,Light rain. Fog.,13 km/h,92%,999 mbar,5 km,16,2
,1 °C,Light rain. Fog.,19 km/h,92%,999 mbar,4 km,16,2
,2 °C,Light rain. Fog.,15 km/h,92%,998 mbar,6 km,16,2
,2 °C,Light rain. Fog.,11 km/h,92%,998 mbar,3 km,16,2
,2 °C,Light rain. Fog.,N/A,92%,997 mbar,4 km,16,2
,2 °C,Light rain. Fog.,13 km/h,92%,997 mbar,6 km,16,2
,2 °C,Light rain. Fog.,11 km/h,92%,997 mbar,6 km,16,2
,2 °C,Light rain. Fog.,11 km/h,92%,995 mbar,3 km,16,2
,2 °C,Light rain. Fog.,7 km/h,92%,994 mbar,4 km,16,2
,2 °C,Rain. Fog.,6 km/h,92%,994 mbar,2 km,16,2
,2 °C,Rain. Fog.,15 km/h,92%,992 mbar,3 km,16,2
,3 °C,Light rain. Fog.,13 km/h,93%,990 mbar,5 km,16,2
,3 °C,Light rain. Fog.,13 km/h,93%,988 mbar,5 km,16,2
,3 °C,Fog.,9 km/h,93%,987 mbar,10 km,16,2
,3 °C,Fog.,6 km/h,93%,985 mbar,2 km,16,2
,4 °C,Fog.,No wind,93%,985 mbar,1 km,16,2
,4 °C,Fog.,No wind,89%,984 mbar,2 km,16,2
,5 °C,Fog.,No wind,89%,984 mbar,3 km,16,2
,5 °C,Fog.,No wind,89%,983 mbar,2 km,16,2
,5 °C,Fog.,No wind,89%,983 mbar,1 km,16,2
,5 °C,Fog.,N/A,89%,983 mbar,2 km,16,2
,8 °C,Heavy rain. Fog.,11 km/h,89%,983 mbar,3 km,16,2
,7 °C,Heavy rain. Fog.,11 km/h,93%,983 mbar,3 km,16,2
,8 °C,Light rain. Fog.,17 km/h,89%,984 mbar,8 km,16,2
,7 °C,Light rain. Mostly cloudy.,N/A,90%,984 mbar,16 km,16,2
,8 °C,Passing clouds.,19 km/h,83%,986 mbar,16 km,16,2
,7 °C,Mostly cloudy.,28 km/h,74%,986 mbar,16 km,16,2
,7 °C,Mostly cloudy.,20 km/h,71%,987 mbar,16 km,16,2
,6 °C,Partly cloudy.,15 km/h,68%,988 mbar,16 km,16,2
,6 °C,Mostly cloudy.,28 km/h,65%,990 mbar,16 km,16,2
,4 °C,Mostly cloudy.,N/A,58%,993 mbar,16 km,16,2
,4 °C,Overcast.,13 km/h,53%,995 mbar,16 km,16,2
,3 °C,Overcast.,24 km/h,50%,996 mbar,16 km,16,2
,2 °C,Overcast.,24 km/h,48%,998 mbar,16 km,17,2
,1 °C,Mostly cloudy.,N/A,50%,999 mbar,16 km,17,2
,1 °C,Passing clouds.,33 km/h,43%,1000 mbar,16 km,17,2
,0 °C,Passing clouds.,26 km/h,43%,1001 mbar,16 km,17,2
,-1 °C,Mostly cloudy.,28 km/h,47%,1002 mbar,16 km,17,2
,-1 °C,Overcast.,30 km/h,41%,1004 mbar,16 km,17,2
,-1 °C,Partly sunny.,26 km/h,41%,1005 mbar,16 km,17,2
,-1 °C,Scattered clouds.,26 km/h,40%,1006 mbar,16 km,17,2
,-1 °C,Scattered clouds.,28 km/h,38%,1008 mbar,16 km,17,2
,-1 °C,Scattered clouds.,30 km/h,36%,1008 mbar,16 km,17,2
,-1 °C,Scattered clouds.,30 km/h,35%,1009 mbar,16 km,17,2
,-1 °C,Scattered clouds.,30 km/h,33%,1009 mbar,16 km,17,2
,1 °C,Scattered clouds.,22 km/h,32%,1010 mbar,16 km,17,2
,1 °C,Passing clouds.,20 km/h,29%,1009 mbar,16 km,17,2
,1 °C,Sunny.,17 km/h,28%,1010 mbar,16 km,17,2
,1 °C,Sunny.,26 km/h,28%,1010 mbar,16 km,17,2
,1 °C,Sunny.,19 km/h,30%,1011 mbar,16 km,17,2
,0 °C,Clear.,13 km/h,32%,1012 mbar,16 km,17,2
,0 °C,Passing clouds.,15 km/h,32%,1013 mbar,16 km,17,2
,-1 °C,Clear.,20 km/h,31%,1013 mbar,16 km,17,2
,-1 °C,Clear.,26 km/h,33%,1013 mbar,16 km,17,2
,-2 °C,Passing clouds.,19 km/h,39%,1014 mbar,16 km,17,2
,-3 °C,Clear.,17 km/h,41%,1014 mbar,16 km,17,2
,-3 °C,Clear.,9 km/h,44%,1015 mbar,16 km,17,2
,-4 °C,Passing clouds.,13 km/h,46%,1016 mbar,16 km,18,2
,-4 °C,Clear.,22 km/h,40%,1016 mbar,16 km,18,2
,-5 °C,Clear.,11 km/h,36%,1017 mbar,16 km,18,2
,-6 °C,Clear.,20 km/h,35%,1018 mbar,16 km,18,2
,-6 °C,Clear.,19 km/h,36%,1019 mbar,16 km,18,2
,-7 °C,Clear.,24 km/h,38%,1020 mbar,16 km,18,2
,-7 °C,Sunny.,13 km/h,41%,1020 mbar,16 km,18,2
,-7 °C,Sunny.,22 km/h,41%,1020 mbar,16 km,18,2
,-7 °C,Sunny.,9 km/h,38%,1020 mbar,16 km,18,2
,-7 °C,Sunny.,20 km/h,34%,1021 mbar,16 km,18,2
,-6 °C,Sunny.,24 km/h,26%,1021 mbar,16 km,18,2
,-4 °C,Sunny.,19 km/h,25%,1021 mbar,16 km,18,2
,-4 °C,Sunny.,24 km/h,23%,1020 mbar,16 km,18,2
,-3 °C,Sunny.,20 km/h,23%,1020 mbar,16 km,18,2
,-3 °C,Sunny.,11 km/h,24%,1020 mbar,16 km,18,2
,-3 °C,Sunny.,19 km/h,24%,1021 mbar,16 km,18,2
,-3 °C,Sunny.,11 km/h,25%,1021 mbar,16 km,18,2
,-4 °C,Clear.,17 km/h,28%,1023 mbar,16 km,18,2
,-4 °C,Clear.,N/A,29%,1023 mbar,16 km,18,2
,-5 °C,Clear.,15 km/h,28%,1024 mbar,16 km,18,2
,-5 °C,Clear.,17 km/h,28%,1025 mbar,16 km,18,2
,-6 °C,Clear.,15 km/h,30%,1025 mbar,16 km,18,2
,-6 °C,Clear.,17 km/h,31%,1025 mbar,16 km,18,2
,-6 °C,Clear.,13 km/h,33%,1025 mbar,16 km,18,2
,-7 °C,Clear.,19 km/h,34%,1026 mbar,16 km,19,2
,-7 °C,Clear.,13 km/h,38%,1026 mbar,16 km,19,2
,-7 °C,Clear.,17 km/h,39%,1026 mbar,16 km,19,2
,-8 °C,Clear.,11 km/h,43%,1026 mbar,16 km,19,2
,-8 °C,Clear.,15 km/h,43%,1026 mbar,16 km,19,2
,-8 °C,Clear.,19 km/h,47%,1026 mbar,16 km,19,2
,-8 °C,Sunny.,9 km/h,47%,1026 mbar,16 km,19,2
,-8 °C,Sunny.,13 km/h,47%,1027 mbar,16 km,19,2
,-7 °C,Sunny.,17 km/h,47%,1027 mbar,16 km,19,2
,-6 °C,Sunny.,15 km/h,43%,1027 mbar,16 km,19,2
,-4 °C,Sunny.,19 km/h,40%,1026 mbar,16 km,19,2
,-4 °C,Sunny.,17 km/h,40%,1025 mbar,16 km,19,2
,-2 °C,Sunny.,15 km/h,36%,1024 mbar,16 km,19,2
,-2 °C,Sunny.,15 km/h,38%,1023 mbar,16 km,19,2
,-2 °C,Sunny.,7 km/h,38%,1023 mbar,16 km,19,2
,-1 °C,Sunny.,17 km/h,38%,1022 mbar,16 km,19,2
,-2 °C,Passing clouds.,N/A,41%,1022 mbar,16 km,19,2
,-2 °C,Passing clouds.,7 km/h,43%,1022 mbar,16 km,19,2
,-3 °C,Clear.,N/A,45%,1022 mbar,16 km,19,2
,-4 °C,Clear.,15 km/h,46%,1022 mbar,16 km,19,2
,-4 °C,Clear.,13 km/h,46%,1023 mbar,16 km,19,2
,-4 °C,Clear.,17 km/h,48%,1022 mbar,16 km,19,2
,-5 °C,Clear.,N/A,50%,1022 mbar,16 km,19,2
,-5 °C,Clear.,13 km/h,48%,1021 mbar,16 km,19,2
,-6 °C,Clear.,N/A,50%,1020 mbar,16 km,20,2
,-6 °C,Clear.,9 km/h,55%,1020 mbar,16 km,20,2
,-7 °C,Clear.,7 km/h,55%,1019 mbar,16 km,20,2
,-7 °C,Clear.,7 km/h,55%,1019 mbar,16 km,20,2
,-7 °C,Clear.,N/A,57%,1018 mbar,16 km,20,2
,-7 °C,Clear.,9 km/h,57%,1017 mbar,16 km,20,2
,-8 °C,Sunny.,13 km/h,59%,1017 mbar,16 km,20,2
,-7 °C,Sunny.,N/A,63%,N/A,16 km,20,2
,-5 °C,Sunny.,9 km/h,50%,1015 mbar,16 km,20,2
,-4 °C,Sunny.,13 km/h,46%,1015 mbar,16 km,20,2
,-3 °C,Sunny.,No wind,42%,1013 mbar,16 km,20,2
,-3 °C,Partly sunny.,13 km/h,42%,1012 mbar,16 km,20,2
,-2 °C,Overcast.,15 km/h,41%,1011 mbar,16 km,20,2
,-2 °C,Mostly cloudy.,9 km/h,45%,1011 mbar,16 km,20,2
,-3 °C,Mostly cloudy.,13 km/h,49%,1011 mbar,13 km,20,2
,-4 °C,Light snow. Mostly cloudy.,15 km/h,66%,1012 mbar,2 km,20,2
,-4 °C,Light snow. Overcast.,11 km/h,71%,1013 mbar,2 km,20,2
,-4 °C,Light snow. Overcast.,11 km/h,71%,1012 mbar,2 km,20,2
,-4 °C,Light snow. Overcast.,15 km/h,75%,1013 mbar,4 km,20,2
,-4 °C,Light snow. Overcast.,6 km/h,75%,1013 mbar,4 km,20,2
,-5 °C,Light snow. Mostly cloudy.,19 km/h,78%,1013 mbar,3 km,20,2
,-5 °C,Light snow. Mostly cloudy.,15 km/h,78%,1013 mbar,2 km,20,2
,-5 °C,Light snow. Mostly cloudy.,17 km/h,74%,1013 mbar,4 km,20,2
,-5 °C,Mostly cloudy.,20 km/h,68%,1014 mbar,6 km,20,2
,-5 °C,Light snow. Mostly cloudy.,24 km/h,63%,1014 mbar,10 km,20,2
,-5 °C,Overcast.,24 km/h,63%,1014 mbar,10 km,20,2
,-5 °C,Overcast.,19 km/h,60%,1014 mbar,16 km,20,2
,-5 °C,Overcast.,20 km/h,55%,1015 mbar,16 km,20,2
,-5 °C,Mostly cloudy.,26 km/h,53%,1015 mbar,16 km,20,2
,5 °C,Quite cool.,N/A,100%,N/A,N/A,21,2
,-4 °C,Cold.,N/A,50%,N/A,N/A,21,2
,-5 °C,Cold.,N/A,54%,N/A,N/A,21,2
,-5 °C,Cold.,N/A,54%,N/A,N/A,21,2
,-4 °C,Cold.,N/A,50%,N/A,N/A,21,2
,-6 °C,Cold.,N/A,63%,N/A,N/A,21,2
,-6 °C,Cold.,N/A,58%,N/A,N/A,21,2
,-5 °C,Cold.,N/A,54%,N/A,N/A,21,2
,-4 °C,Cold.,N/A,54%,N/A,N/A,21,2
,-4 °C,Cold.,N/A,54%,N/A,N/A,21,2
,-2 °C,Chilly.,N/A,47%,N/A,N/A,21,2
,-1 °C,Chilly.,N/A,43%,N/A,N/A,21,2
,0 °C,Chilly.,N/A,40%,N/A,N/A,21,2
,0 °C,Sunny.,N/A,37%,1024 mbar,16 km,21,2
,-2 °C,Clear.,11 km/h,43%,1026 mbar,16 km,21,2
,-3 °C,Clear.,22 km/h,43%,1027 mbar,16 km,21,2
,-3 °C,Clear.,19 km/h,43%,1028 mbar,16 km,21,2
,-4 °C,Clear.,17 km/h,46%,1029 mbar,16 km,21,2
,-5 °C,Cold.,N/A,54%,N/A,N/A,21,2
,-6 °C,Clear.,28 km/h,54%,1029 mbar,16 km,21,2
,-6 °C,Clear.,17 km/h,54%,1029 mbar,16 km,22,2
,-6 °C,Clear.,11 km/h,54%,1029 mbar,16 km,22,2
,-6 °C,Clear.,9 km/h,54%,1029 mbar,16 km,22,2
,-6 °C,Clear.,13 km/h,58%,1029 mbar,16 km,22,2
,-6 °C,Clear.,N/A,58%,1029 mbar,16 km,22,2
,-5 °C,Clear.,6 km/h,54%,1029 mbar,16 km,22,2
,-5 °C,Sunny.,9 km/h,58%,1029 mbar,16 km,22,2
,-4 °C,Sunny.,9 km/h,54%,1030 mbar,16 km,22,2
,-3 °C,Sunny.,No wind,54%,1029 mbar,16 km,22,2
,-2 °C,Sunny.,No wind,47%,1028 mbar,16 km,22,2
,0 °C,Sunny.,17 km/h,40%,1028 mbar,16 km,22,2
,2 °C,Sunny.,6 km/h,35%,1027 mbar,16 km,22,2
,3 °C,Chilly.,N/A,35%,N/A,N/A,22,2
,4 °C,Sunny.,11 km/h,30%,1024 mbar,16 km,22,2
,3 °C,Sunny.,N/A,41%,1023 mbar,16 km,22,2
,3 °C,Clear.,13 km/h,35%,1023 mbar,16 km,22,2
,3 °C,Clear.,7 km/h,38%,1023 mbar,16 km,22,2
,3 °C,Clear.,11 km/h,38%,1023 mbar,16 km,22,2
,2 °C,Clear.,15 km/h,44%,1022 mbar,16 km,22,2
,2 °C,Clear.,11 km/h,41%,1022 mbar,16 km,22,2
,2 °C,Clear.,13 km/h,41%,1021 mbar,16 km,22,2
,1 °C,Clear.,15 km/h,44%,1021 mbar,16 km,23,2
,1 °C,Clear.,6 km/h,48%,1021 mbar,16 km,23,2
,1 °C,Clear.,6 km/h,48%,1021 mbar,16 km,23,2
,1 °C,Clear.,9 km/h,48%,1020 mbar,16 km,23,2
,1 °C,Clear.,11 km/h,48%,1019 mbar,16 km,23,2
,1 °C,Passing clouds.,6 km/h,48%,1020 mbar,16 km,23,2
,1 °C,Passing clouds.,7 km/h,48%,1020 mbar,16 km,23,2
,1 °C,Sunny.,No wind,44%,1020 mbar,16 km,23,2
,2 °C,Sunny.,9 km/h,44%,1021 mbar,16 km,23,2
,2 °C,Sunny.,9 km/h,44%,1021 mbar,16 km,23,2
,3 °C,Sunny.,9 km/h,41%,1020 mbar,16 km,23,2
,5 °C,Quite cool.,N/A,36%,N/A,N/A,23,2
,6 °C,Sunny.,11 km/h,34%,1020 mbar,16 km,23,2
,7 °C,Sunny.,6 km/h,34%,1019 mbar,16 km,23,2
,8 °C,Sunny.,13 km/h,32%,1018 mbar,16 km,23,2
,8 °C,Sunny.,17 km/h,32%,1018 mbar,16 km,23,2
,8 °C,Sunny.,6 km/h,34%,1018 mbar,16 km,23,2
,8 °C,Sunny.,11 km/h,32%,1018 mbar,16 km,23,2
,7 °C,Clear.,11 km/h,34%,1019 mbar,16 km,23,2
,6 °C,Clear.,9 km/h,39%,1019 mbar,16 km,23,2
,6 °C,Clear.,No wind,39%,1020 mbar,16 km,23,2
,6 °C,Clear.,No wind,36%,1020 mbar,16 km,23,2
,5 °C,Clear.,6 km/h,42%,1021 mbar,16 km,23,2
,5 °C,Clear.,No wind,42%,1020 mbar,16 km,23,2
,4 °C,Passing clouds.,6 km/h,48%,1020 mbar,16 km,24,2
,4 °C,Clear.,6 km/h,45%,1020 mbar,16 km,24,2
,3 °C,Clear.,13 km/h,48%,1020 mbar,16 km,24,2
,3 °C,Clear.,11 km/h,52%,1020 mbar,16 km,24,2
,2 °C,Overcast.,7 km/h,56%,1021 mbar,16 km,24,2
,2 °C,Overcast.,7 km/h,56%,1021 mbar,16 km,24,2
,2 °C,Sunny.,9 km/h,56%,1021 mbar,16 km,24,2
,3 °C,Chilly.,N/A,56%,1021 mbar,N/A,24,2
,5 °C,Sunny.,6 km/h,53%,1021 mbar,16 km,24,2
,6 °C,Sunny.,9 km/h,53%,1021 mbar,16 km,24,2
,7 °C,Sunny.,11 km/h,49%,1020 mbar,16 km,24,2
,8 °C,Sunny.,11 km/h,46%,1019 mbar,16 km,24,2
,8 °C,Cool.,N/A,50%,1019 mbar,N/A,24,2
,9 °C,Cool.,N/A,71%,N/A,N/A,24,2
,9 °C,Sunny.,N/A,34%,1016 mbar,16 km,24,2
,9 °C,Sunny.,7 km/h,32%,1015 mbar,16 km,24,2
,8 °C,Sunny.,11 km/h,37%,1014 mbar,16 km,24,2
,8 °C,Overcast.,9 km/h,37%,1014 mbar,16 km,24,2
,8 °C,Clear.,11 km/h,37%,1014 mbar,16 km,24,2
,8 °C,Clear.,11 km/h,32%,1014 mbar,16 km,24,2
,7 °C,Clear.,9 km/h,37%,1014 mbar,16 km,24,2
,7 °C,Overcast.,13 km/h,42%,1014 mbar,16 km,24,2
,7 °C,Clear.,11 km/h,46%,1014 mbar,16 km,24,2
